date,open,high,low,close,volume
2024-12-03,1142.5416474793556,1163.0083577848877,1136.1520159851627,1158.615478515625,8382042
2024-12-04,1155.620475859988,1166.103426180964,1152.0263458386441,1157.5672607421875,18379798
2024-12-05,1162.1098542785676,1174.9889311617428,1148.2324012319225,1164.5059814453125,10640451
2024-12-06,1165.6041034914654,1191.9112895042008,1158.1162826981583,1182.62646484375,7542210
2024-12-09,1182.3269836307725,1184.0741419346389,1159.1147375936896,1161.361083984375,6308112
2024-12-10,1155.1211468863528,1163.1581232345245,1149.3804843153964,1151.776611328125,4714389
2024-12-11,1148.1326194857947,1156.4690363050338,1142.6915179944604,1145.3870849609375,7788242
2024-12-12,1143.1407039727058,1152.6752450559866,1141.742952973343,1143.7896728515625,4825283
2024-12-13,1139.1472304132253,1150.8281830630162,1111.8416660481157,1146.28564453125,8731618
2024-12-16,1144.6382485238657,1153.124445743624,1139.8959618422361,1149.0311279296875,3975202
2024-12-17,1143.3902926303374,1149.9795508853542,1128.1650562517189,1134.4049072265625,7292817
2024-12-18,1134.3549105744767,1138.0489753800873,1114.137793934539,1120.4276123046875,7222127
2024-12-19,1103.1058605329233,1117.232907788727,1099.2621366321944,1107.099365234375,11677610
2024-12-20,1102.1572227344786,1104.0541616573962,1063.2705232390288,1070.109375,12623056
2024-12-23,1073.3541110903145,1081.790462182754,1070.6585443933702,1077.3975830078125,3886921
2024-12-24,1075.550693795779,1082.988547493429,1074.252756029435,1077.1480712890625,4343694
2024-12-26,1081.2413564986148,1090.8257430405286,1071.008001093157,1074.9515380859375,4775460
2024-12-27,1076.3492862446637,1084.4860761153666,1074.2527207366024,1075.7003173828125,3801667
2024-12-30,1072.3558098554706,1094.7194602300276,1062.2222674497395,1068.2125244140625,9452155
2024-12-31,1060.275380639948,1068.711609637263,1056.7810644137335,1062.970947265625,5292136
2025-01-01,1062.422089846609,1075.2012324711711,1052.2385791743047,1070.0596923828125,2985355
2025-01-02,1070.259182488381,1086.9320146607752,1065.766490024577,1084.83544921875,6557076
2025-01-03,1084.236495050746,1091.7243161491626,1078.0466116915568,1083.1383056640625,7357220
2025-01-06,1085.9836525482262,1088.2299988761818,1058.1789012632846,1061.6732177734375,5283413
2025-01-07,1062.8214404990579,1068.761730185158,1054.285275175644,1065.7666015625,4619462
2025-01-08,1062.0227028704326,1080.592476167825,1057.38022907806,1073.2044677734375,8780098
2025-01-09,1077.8468688369667,1078.3960244691536,1052.538057769639,1060.02587890625,9054190
2025-01-10,1054.5348076351484,1063.1208181441978,1035.316066762271,1039.010009765625,5612886
2025-01-13,1024.9328592000836,1061.273772881057,1021.5883237070005,1047.5960693359375,7180930
2025-01-14,1051.2401987834926,1059.2771761544273,1043.802344646045,1049.9423828125,6892897
2025-01-15,1041.3062114859742,1051.1901586731517,1013.0022750783879,1025.132568359375,11418721
2025-01-16,1032.2211352471902,1044.7506829203899,1025.3822829319104,1036.314453125,10261727
2025-01-17,998.3761525809333,1010.0571657533391,973.0173739309598,989.440673828125,33831617
2025-01-20,990.439061296575,992.5855944235661,974.9143241337787,986.445556640625,33440507
2025-01-21,991.9865385807151,992.8351948872215,961.4362521394861,968.6245727539062,11894500
2025-01-22,974.16548665151,974.16548665151,952.4508063187708,957.7421875,17303146
2025-01-23,952.450837032954,962.1350977728039,946.4605801962688,949.505615234375,24649522
2025-01-24,946.4605287542831,960.2381065426121,944.5635898180176,946.959716796875,14421921
2025-01-27,941.5685439420195,948.2077698637862,931.9841570601152,946.5604248046875,12713296
2025-01-28,958.4410536437485,992.2360601712497,956.6439888553748,982.202392578125,21781371
2025-01-29,986.3956063626015,987.0445752148886,976.0124703422623,981.8031005859375,11175206
2025-01-30,983.0511065629934,989.7901456172491,973.2170648629341,983.1010131835938,10473118
2025-01-31,980.4053395519335,988.3923484281204,976.4617417321078,984.4986572265625,9036312
2025-02-01,987.8931967647668,1003.3181204123249,980.4053756675098,996.5291748046875,4830391
2025-02-03,985.4970820817739,998.8753469855333,981.753171485876,987.7933959960938,7124605
2025-02-04,992.385906066695,1015.4483710586156,986.1959616686072,1013.6513061523438,16058171
2025-02-05,1018.9426747263542,1020.3903323316467,1008.8590999817069,1011.654541015625,7858373
2025-02-06,1010.3566568712627,1020.1906375069063,1008.4098112049047,1019.0425415039062,5815563
2025-02-07,1017.8445057093887,1025.6817342725071,1006.0137724647228,1022.43701171875,8638651
2025-02-10,1019.3420349226665,1025.082697705042,1004.5660802961088,1010.1070556640625,3960565
2025-02-11,1007.3614764933467,1014.6995163926927,1000.9718451322531,1005.7640991210938,4808215
2025-02-12,998.3761339148515,1009.008864115462,982.4021157722138,1005.2649536132812,7669283
2025-02-13,1001.3712372223157,1015.7977841830659,999.4243916227608,1006.5628051757812,6348246
2025-02-14,1008.9089842755058,1014.3501463619988,986.0462074988543,995.8801879882812,5375755
2025-02-17,990.8383973867473,998.0267176735445,976.4617568131531,991.3375854492188,7166803
2025-02-18,991.33764196097,995.730460599508,984.9480100226741,992.5357055664062,3090004
2025-02-19,990.0397410803987,1011.804329129352,986.5454245287212,1009.7077026367188,6401381
2025-02-20,1006.7625199634393,1017.9942514939594,1004.8655809305341,1015.5482177734375,5011212
2025-02-21,1010.3566806288227,1020.2406290528706,999.0251355119985,1007.3116455078125,5019937
2025-02-24,999.7239055887297,1011.3550117867557,996.9284646337834,1008.4097900390625,4265454
2025-02-25,1002.3696099471763,1012.0538703579778,995.4807904446366,1007.4613037109375,5708975
2025-02-27,1006.0137195509107,1021.8878632634938,1003.5177792562238,1015.0490112304688,9777690
2025-02-28,1013.152096799687,1033.8184951280357,1008.3099968849968,1013.90087890625,15026849
2025-03-03,1015.3983923638058,1017.7446127420518,990.3890834419211,1005.6143188476562,6763184
2025-03-04,999.4743422792087,1009.4581038080632,996.9784018969951,1000.1732177734375,5786420
2025-03-05,1001.3713148547035,1015.747956311782,1000.9220333836612,1012.802734375,5133873
2025-03-06,1020.9393296621977,1037.8119093693128,1013.501476799868,1032.420654296875,7861120
2025-03-07,1032.0214287789433,1048.6444168767227,1029.0263001801397,1035.965087890625,7597321
2025-03-10,1034.3176274673472,1048.7940807475368,1030.6735303706762,1034.1678466796875,5995655
2025-03-11,1028.7267223466547,1035.1163535407738,1019.4417761879421,1023.9844360351562,4771085
2025-03-12,1023.535188677738,1028.1278165033088,997.5774694995702,1009.5579833984375,7504702
2025-03-13,1013.3517635093752,1014.3501396310593,1003.4678155302854,1008.5595703125,4004140
2025-03-17,1009.4580844924919,1037.312802999425,1009.4580844924919,1032.470703125,5938668
2025-03-18,1032.470703125,1032.470703125,1032.470703125,1032.470703125,0
2025-03-19,1046.0985761774955,1056.8311197639223,1041.8055099940893,1050.3416748046875,4822365
2025-03-20,1054.5348786388236,1057.1805999868693,1045.200085389316,1052.637939453125,3742644
2025-03-21,1052.637839967216,1073.8034868790976,1048.8440838264673,1068.4122314453125,6848565
2025-03-24,1080.2429024147984,1103.1555843595158,1071.9563323258167,1096.067138671875,8284863
2025-03-25,1108.1476316970598,1121.6756781665542,1094.569739540046,1116.7337646484375,11720528
2025-03-26,1113.1894013460305,1117.0331251287269,1087.281589139772,1094.4698486328125,7127060
2025-03-27,1090.226742151285,1106.2007603513039,1086.333050840613,1096.56640625,8508917
2025-03-28,1096.6163196755733,1105.2023296598516,1084.7356198513357,1100.21044921875,4921190
2025-04-01,1091.4246698828026,1099.4616459870902,1068.2623938308163,1083.8370361328125,6638140
